Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: allocalot,Param: execName,Param: isVirtual,Param: queue,Param: singleshot,Param: stackDepth,Param: stackFrame,Param: threads
micro.Ring.trip:·cpi,thrpt,1,1,1.480631,NaN,clks/insn,false,fjp,true,sq,false,1,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.675388,NaN,insns/clk,false,fjp,true,sq,false,1,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,1,1,20000
micro.Ring.trip,thrpt,1,20,0.021242,0.000364,ops/ms,false,fjp,true,sq,false,32,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.49705,NaN,clks/insn,false,fjp,true,sq,false,32,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.66798,NaN,insns/clk,false,fjp,true,sq,false,32,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,32,1,20000
micro.Ring.trip,thrpt,1,20,0.016024,0.00101,ops/ms,false,fjp,true,sq,false,64,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.436662,NaN,clks/insn,false,fjp,true,sq,false,64,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.696058,NaN,insns/clk,false,fjp,true,sq,false,64,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,64,1,20000
micro.Ring.trip,thrpt,1,20,0.012392,0.000998,ops/ms,false,fjp,true,sq,false,128,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.417657,NaN,clks/insn,false,fjp,true,sq,false,128,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.705389,NaN,insns/clk,false,fjp,true,sq,false,128,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,128,1,20000
micro.Ring.trip,thrpt,1,20,0.011406,0.001282,ops/ms,false,fjp,true,sq,false,140,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.382867,NaN,clks/insn,false,fjp,true,sq,false,140,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.723135,NaN,insns/clk,false,fjp,true,sq,false,140,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,140,1,20000
micro.Ring.trip,thrpt,1,20,0.011237,0.000188,ops/ms,false,fjp,true,sq,false,160,1,20000
micro.Ring.trip:·cpi,thrpt,1,1,1.375439,NaN,clks/insn,false,fjp,true,sq,false,160,1,20000
micro.Ring.trip:·ipc,thrpt,1,1,0.727041,NaN,insns/clk,false,fjp,true,sq,false,160,1,20000
micro.Ring.trip:·perf,thrpt,1,1,NaN,NaN,---,false,fjp,true,sq,false,160,1,20000
